hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,hsv_34,hsv_35,hsv_36,hsv_37,hsv_38,hsv_39,hsv_40,hsv_41,hsv_42,hsv_43,hsv_44,hsv_45,hsv_46,hsv_47,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,label
23.7344,55.5776,50.1344,13.6304,50.0608,30.4928,22.1008,55.9584,31.176,15.6928,68.984,32.4736,68.5584,31.816,64.5792,91.0304,43.0832,68.7392,66.3648,44.9792,69.4272,43.5248,54.9888,35.3792,24.4912,48.312,87.816,93.9936,18.3008,85.2,62.6816,18.8064,83.1216,18.7504,27.5632,56.8928,6.344,82.7584,85.0768,30.9664,61.2448,96.1696,34.3616,37.8064,112.416,10.72,29.0608,79.808,48.0,263.0,162.0,1349.0,3334.0,2361.0,612.0,523.0,1056.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.9952,62.4608,53.088,27.1568,53.1968,30.8688,13.9168,60.2432,31.8256,11.2128,73.4944,32.4672,35.4592,34.7968,67.6432,81.7568,45.5392,66.6192,60.7248,52.5376,70.0816,38.864,59.352,31.3728,15.8208,53.472,93.9744,70.9696,19.5696,83.4528,38.2688,21.872,82.44,14.8384,38.288,52.4496,7.0352,83.992,85.5072,20.4688,61.5888,97.552,44.4672,36.3376,111.6432,10.648,33.0112,73.8736,49.0,277.0,185.0,1345.0,3397.0,2268.0,629.0,472.0,1016.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.3552,71.8512,61.9872,16.3984,58.2592,31.88,16.1936,62.1696,31.568,14.4464,69.8944,34.2256,50.4128,43.784,79.4192,117.1184,44.9536,70.3504,62.4704,51.0112,67.9312,40.2416,57.6624,33.208,16.2816,59.8832,106.448,69.352,23.5088,85.9792,25.3344,24.12,85.1056,15.1984,37.6432,53.704,8.0176,86.5808,87.1728,15.1648,66.24,95.3392,60.3488,35.7664,109.0192,10.4544,34.8416,74.7792,63.0,292.0,247.0,1374.0,3308.0,2236.0,690.0,453.0,990.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
12.4576,80.856,54.88,17.8016,75.5872,31.2768,10.5568,65.6928,31.7168,9.6368,75.0128,33.0656,17.2256,44.1888,70.2944,90.5584,46.5744,65.3216,32.5408,68.736,69.1888,28.008,67.8512,29.4752,17.8336,54.3168,107.2272,73.048,22.3696,80.7568,20.3584,29.344,79.2288,16.7808,42.552,47.2752,8.4784,85.7008,85.48,16.28,66.6704,100.0304,53.6352,34.3952,114.616,10.4912,36.3472,75.376,75.0,266.0,232.0,1356.0,3146.0,2339.0,599.0,482.0,1129.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
12.4272,80.4352,52.0912,21.9904,76.7056,30.5104,15.744,64.28,31.2544,11.8304,76.8672,31.7728,16.8592,45.2976,66.7072,94.7488,49.6896,64.1648,35.592,70.3536,69.6016,30.5712,67.5296,29.1008,19.2496,54.424,106.144,79.7728,22.6112,79.3408,26.2208,27.248,76.9712,18.3536,43.2944,46.4528,8.6224,84.3568,86.136,22.0992,65.0352,102.9344,55.2688,34.0656,117.296,10.5392,35.0928,78.2048,80.0,323.0,233.0,1378.0,3151.0,2185.0,682.0,479.0,971.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
12.6704,80.3072,50.6896,9.84,66.5648,29.9024,12.8144,68.76,31.4688,10.1968,79.5568,31.1712,17.5056,53.9392,66.5408,42.096,56.9168,61.192,27.5328,75.6304,70.0064,26.032,69.72,26.096,19.4336,59.184,106.6016,37.6704,27.4512,80.7552,20.1808,28.5536,78.4288,23.0064,43.4512,45.6064,8.6448,85.1568,85.2016,23.5808,66.288,100.16,49.8864,34.312,114.7744,34.352,34.6256,72.2224,71.0,318.0,244.0,1313.0,3202.0,2272.0,671.0,471.0,1048.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.168,83.1872,52.5856,14.5776,83.7488,30.272,12.2224,75.9376,30.4144,11.9264,75.1984,32.0704,25.1744,56.5744,68.272,56.5696,57.184,64.7936,29.3168,75.1456,67.8752,25.5904,71.8304,31.1952,18.096,60.6304,111.1296,31.0272,28.2928,79.6688,22.7424,28.3184,77.4528,19.1136,43.8592,47.2384,8.9984,83.3088,86.5952,20.9056,66.6304,102.624,63.9344,35.968,117.784,30.728,31.8256,83.3552,72.0,274.0,215.0,1390.0,3292.0,2163.0,613.0,511.0,1087.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.5776,80.9296,50.2304,16.272,86.1728,30.5568,12.0224,76.9888,30.5984,11.3328,76.0512,31.28,17.6176,57.7456,66.032,32.2608,59.1392,64.2576,27.9552,76.6784,69.0992,24.568,69.6816,30.8944,18.096,62.624,109.5024,24.1568,32.672,82.08,16.0384,29.0384,80.7312,24.3616,42.8144,49.4832,9.0112,82.6224,86.624,20.1488,66.8464,102.704,72.9344,37.232,116.4768,50.7664,31.624,83.3888,79.0,274.0,201.0,1396.0,3260.0,2262.0,655.0,478.0,1062.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.4784,83.6128,50.1584,16.7984,90.8144,30.3536,12.1968,84.52,31.04,11.4096,80.2832,31.784,16.3712,61.7648,65.2512,30.1968,67.2864,61.6112,21.4976,78.6688,69.5744,26.192,71.7232,27.584,18.7936,63.8352,109.192,23.92,37.3984,79.2496,15.0464,31.6704,77.472,28.1504,46.064,45.3696,9.2672,81.696,87.3808,26.3168,65.1648,104.3328,63.888,36.1952,117.928,59.952,32.984,78.1632,94.0,319.0,275.0,1443.0,3124.0,2201.0,711.0,528.0,857.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
15.6816,81.808,42.7984,16.4688,83.7024,29.8032,10.5808,73.696,31.0944,11.8432,71.5152,31.8928,17.5312,58.4208,61.2,28.6448,63.6864,61.4096,23.9744,78.904,72.824,30.8864,70.4752,33.896,20.5808,61.6032,100.1088,14.3664,32.5344,78.8592,17.192,29.4064,75.912,19.8736,42.1264,46.2,9.8784,76.0416,90.5968,32.7664,58.1904,117.5232,72.3904,34.664,131.3584,67.912,28.5664,99.936,59.0,238.0,168.0,1386.0,3174.0,2342.0,625.0,464.0,1161.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
15.1552,87.3168,53.6192,13.7632,87.9536,32.7536,13.544,79.3728,32.9408,12.0304,78.7376,33.0144,15.5504,69.336,68.3408,22.6048,74.5744,65.5104,25.0992,82.6288,71.7344,32.544,66.1712,31.2464,15.376,61.5008,118.944,19.5968,39.0848,81.2368,14.8784,33.6192,80.056,26.4512,43.6816,47.9472,9.88,76.9616,92.7056,26.224,63.656,110.9488,69.8016,41.4864,124.2432,53.7696,33.1024,90.4512,100.0,318.0,281.0,1413.0,3039.0,2027.0,678.0,523.0,1119.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.6192,84.2368,45.6048,13.12,96.1328,29.9072,10.9872,93.2,30.9248,12.7264,80.1456,32.168,16.0576,60.4,58.4416,20.6448,72.2512,45.3056,16.0176,66.1728,47.2992,14.5504,67.0656,34.3376,11.6448,61.488,104.8448,28.5344,46.88,82.2112,48.9824,34.0384,81.2064,19.3008,40.7264,54.3904,9.1072,78.912,92.6464,25.736,64.2496,113.2656,70.5552,41.488,124.288,24.7296,30.0832,91.5968,106.0,320.0,257.0,1344.0,3103.0,2234.0,648.0,487.0,1038.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
13.3616,78.504,42.2432,11.024,87.176,29.4784,7.7648,79.2944,30.0448,8.5728,82.072,30.3776,14.5264,55.9264,57.3952,20.4784,74.6672,42.9328,17.3808,66.8176,46.328,19.3728,67.9376,33.5712,11.776,60.2944,85.6608,21.8912,37.6464,89.472,35.7744,30.936,86.8048,15.9088,39.408,62.504,6.2368,82.8352,89.7904,19.7568,63.7344,102.992,37.9152,40.1568,115.9408,31.7392,31.9776,82.7488,89.0,365.0,262.0,1338.0,3067.0,2133.0,663.0,506.0,1130.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.3792,61.872,92.8912,23.8848,38.3936,51.6576,32.1632,26.664,48.0576,39.76,43.5296,46.0896,21.2704,55.2864,94.68,21.5264,47.7072,79.512,31.184,45.04,73.7056,101.8688,25.52,45.7344,63.3984,38.624,109.8704,117.2032,17.2512,100.8224,122.352,22.504,117.048,120.0944,17.2992,70.2976,110.384,6.1472,170.3904,105.6496,7.5872,156.7056,75.7264,22.072,137.5216,27.4064,18.0832,117.9552,207.0,524.0,381.0,1349.0,2686.0,1967.0,803.0,615.0,798.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.2368,58.9616,84.5904,20.176,32.9712,52.6528,34.1488,23.2512,48.744,32.5328,38.1648,46.1392,50.0304,49.5376,90.4832,19.7264,38.96,80.8224,25.7632,42.736,76.9008,91.7072,26.3856,47.9888,65.6368,46.5328,95.4144,112.7792,19.1888,102.1472,123.4112,24.0048,115.416,108.9248,16.952,62.5504,114.144,6.616,168.0128,110.608,8.704,163.1184,60.7696,18.1072,150.6512,59.3568,15.456,122.3808,129.0,386.0,367.0,1402.0,3018.0,2054.0,813.0,524.0,766.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.104,61.6832,88.2336,19.072,31.752,53.6336,61.6416,19.3856,50.392,27.9232,40.3776,47.6224,46.8704,53.8704,94.6736,17.9584,41.512,80.0976,30.9088,41.1264,74.7296,94.0736,24.824,47.28,59.6992,51.9664,92.248,111.5648,19.5744,100.7904,120.1264,23.1136,115.8784,119.3472,18.264,60.28,114.616,6.7968,167.0992,103.984,8.52,161.9472,53.872,17.9712,150.7088,50.5552,16.7312,117.9856,154.0,429.0,357.0,1299.0,2979.0,2062.0,768.0,533.0,839.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.7728,49.9616,68.5776,32.7296,24.6608,51.9904,78.5232,17.9712,47.7968,30.8976,40.8304,45.5904,48.9792,37.4352,77.624,17.1744,44.6224,76.824,39.0048,45.7184,78.8528,104.5024,22.5584,45.3872,80.7664,36.1312,77.8672,107.7248,23.1008,104.4768,120.6848,22.7552,109.0176,123.5168,18.8416,52.9088,115.2432,7.2224,164.2272,99.4368,11.6112,162.3984,62.256,17.0928,161.7312,49.3952,16.608,120.2832,163.0,417.0,384.0,1373.0,2854.0,2037.0,833.0,529.0,808.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
18.2848,55.8064,79.7392,20.4768,36.7328,54.6016,30.6352,36.3792,50.4912,19.8368,40.2352,45.4016,19.2528,45.6688,85.264,18.4992,42.8928,82.5744,40.9936,39.1312,76.4528,60.9216,29.7088,52.0304,50.8848,37.3776,94.368,118.0384,15.9104,105.3264,129.704,20.9536,116.0256,107.0352,16.5152,66.6416,114.3776,7.3904,169.2528,107.5888,8.864,163.9664,44.1328,19.7216,150.6688,48.2624,17.2912,125.384,112.0,418.0,222.0,1246.0,2973.0,2320.0,800.0,521.0,948.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.448,50.7264,74.3616,22.1888,31.6896,63.1264,19.3776,31.6416,57.2096,11.5568,40.488,52.472,20.184,33.3744,80.952,18.6192,34.2496,86.6768,35.8352,36.3312,88.8368,75.8736,27.1104,58.384,50.5344,31.2368,76.3072,95.5936,15.8496,116.4976,121.3168,20.8528,127.7792,124.256,16.4352,68.6576,100.8032,8.8192,157.5568,99.3472,8.928,161.3888,38.1312,22.272,164.568,51.6032,16.3008,129.6128,148.0,378.0,287.0,1309.0,2885.0,2281.0,748.0,548.0,924.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
18.8752,45.6816,68.0944,27.0208,28.1344,65.1888,26.176,23.8288,56.4816,16.7376,47.2464,52.4784,21.216,31.1568,73.0288,39.7328,32.6576,77.3664,42.368,40.328,86.2608,75.6848,26.5008,62.6576,32.136,19.472,65.2944,96.7328,18.2112,115.3184,115.4864,23.28,120.6288,103.4752,14.4016,63.4,78.2144,16.3888,123.6112,80.1584,12.1536,155.3424,58.5952,26.336,172.904,76.4112,12.7328,140.6768,111.0,410.0,328.0,1360.0,3056.0,2103.0,747.0,505.0,783.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
21.2176,48.0336,72.3296,33.1968,21.7968,69.728,30.1104,19.4192,64.168,18.872,34.216,49.1584,26.0864,39.8672,85.832,28.5776,39.6992,94.0496,37.9472,25.1888,93.4256,59.8832,28.592,78.6992,31.1968,15.9552,62.344,105.856,18.4288,137.4864,121.1984,22.4528,144.7072,120.024,22.376,72.016,20.4688,17.7744,89.5584,107.1072,14.0944,150.1072,78.0816,21.9264,168.9488,71.0624,13.0592,157.016,100.0,315.0,238.0,1346.0,3298.0,2285.0,664.0,467.0,864.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.7056,47.9088,72.8816,25.3904,25.2928,68.2976,26.904,18.9344,58.5888,15.6992,40.4832,53.3424,24.1248,36.0496,76.7616,32.0224,30.9856,84.6224,45.3792,35.5792,89.6928,68.6592,21.0256,56.6464,71.8608,24.6752,65.3344,117.6784,19.408,134.5392,117.1808,22.912,146.5392,123.1968,21.5216,58.04,47.4384,20.92,122.3408,77.7568,14.7456,145.4352,56.5536,23.0656,161.1728,94.3856,18.2208,122.0496,146.0,391.0,319.0,1382.0,3077.0,2189.0,724.0,493.0,762.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.112,42.032,67.144,37.2288,21.0896,65.2512,35.5472,14.4224,58.592,18.0912,37.4624,45.7728,25.6688,34.288,74.664,39.8864,33.5968,83.5904,43.9792,32.4288,85.496,54.8832,30.5136,69.1744,77.6096,16.9072,62.3024,115.1872,23.424,127.7632,118.336,24.2688,132.5856,122.2112,22.3632,63.8656,49.4576,18.3152,104.1728,100.0112,16.1664,151.4096,77.2112,21.6576,170.0656,88.4208,17.408,149.5776,140.0,378.0,318.0,1429.0,3079.0,2168.0,783.0,498.0,738.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
17.1712,51.9456,80.664,32.4192,18.6096,62.0752,60.4816,10.592,58.5088,26.0688,28.304,46.0736,32.3216,49.5104,96.0976,37.384,28.0432,79.5216,83.4096,25.5824,83.5648,112.0288,20.5136,64.5776,31.9856,38.3184,75.8192,123.1232,20.9104,112.3104,120.3056,29.3072,126.6048,116.2832,22.7088,63.6336,60.5136,35.0032,128.5824,86.0832,13.792,152.8016,69.6496,19.9856,176.9856,71.4416,16.4896,160.4304,138.0,396.0,315.0,1412.0,2989.0,2092.0,788.0,514.0,767.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
18.904,48.7024,82.7488,71.8464,12.2976,63.5936,80.5504,10.8432,60.4224,42.464,23.392,47.4224,26.2784,49.3072,98.2912,47.9376,21.9984,73.0448,68.2752,28.3824,86.96,72.512,19.9744,69.2208,74.3712,32.9408,74.8352,118.512,22.8672,111.0368,117.9488,29.832,118.2016,101.6864,18.4784,59.256,32.8112,46.7088,114.1088,97.7072,17.616,161.6896,83.1072,18.1904,190.696,69.6288,16.9072,148.056,139.0,389.0,314.0,1405.0,3161.0,2114.0,757.0,506.0,722.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
19.5632,67.8688,97.2928,20.3616,41.1936,55.1024,17.9248,36.0464,51.4272,19.768,42.7504,49.2192,18.528,51.224,97.9696,18.68,49.9056,88.0656,31.4272,39.3264,81.3328,47.9488,32.1024,63.0528,18.1088,63.4528,93.8464,85.4672,16.9488,98.2848,110.2544,18.8336,98.8864,101.5312,15.1264,53.8992,19.544,67.4992,124.2096,71.8736,18.9696,156.9776,106.5216,15.792,178.1184,49.2288,16.6048,146.36,147.0,401.0,315.0,1390.0,2828.0,2032.0,790.0,566.0,887.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
20.0064,64.8,93.8928,20.8224,37.2208,55.4336,18.1776,34.656,52.0,15.504,43.8,49.7984,20.7424,47.9904,96.8224,20.52,45.2704,86.6016,21.9776,36.6528,84.1792,38.6912,29.8528,62.976,17.1248,57.0784,89.9856,83.1008,18.1984,96.5856,109.5024,18.0336,94.56,102.8768,13.424,51.9648,17.1328,69.504,119.1456,96.824,19.68,158.6496,111.7808,15.152,181.2608,52.4912,17.56,142.4592,127.0,361.0,280.0,1341.0,2893.0,2072.0,742.0,599.0,1053.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
19.7584,69.2528,103.7984,23.0896,35.4208,56.7264,18.1024,25.7424,53.2976,13.1584,42.3872,49.9136,25.4112,52.3856,105.0224,26.0288,37.5936,88.864,32.5712,35.1472,86.896,45.9856,22.4592,58.4688,21.8128,60.7024,97.3168,86.3888,20.5072,101.2976,111.9936,20.5952,100.0,125.7168,19.0256,51.5088,18.0672,67.5728,122.216,93.5312,19.84,156.6288,93.1664,15.128,180.3024,66.2464,18.1664,135.4592,180.0,468.0,368.0,1365.0,2676.0,1943.0,783.0,571.0,948.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
22.0912,63.0272,98.464,22.7936,32.0832,58.1664,18.2544,24.4,55.1824,14.224,36.576,51.36,32.8096,44.768,98.4672,28.1632,35.7424,91.0336,32.648,31.1504,87.5904,27.1152,27.6992,67.0736,20.0096,49.2144,89.6656,92.2432,21.1952,104.4896,112.744,21.2976,98.4976,123.0464,19.3872,53.5328,15.1072,70.0416,115.4608,95.0048,22.1952,161.4816,100.9984,14.2752,185.7376,59.7856,17.4544,136.4496,98.0,328.0,245.0,1313.0,3081.0,2223.0,778.0,539.0,951.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
21.6656,63.4,102.416,23.6864,33.1552,59.5488,19.4736,22.2848,56.912,15.4864,43.5968,51.736,34.5856,53.5072,107.1744,29.2,32.488,87.5808,32.2096,35.5072,92.5008,26.0576,17.7664,54.8432,20.84,53.4688,97.8048,98.608,22.1696,110.9648,114.0816,22.456,102.9344,119.5104,17.9952,48.8928,18.2144,69.4608,118.6704,79.424,20.68,160.072,70.672,14.5248,177.7376,74.7312,16.5728,121.4128,162.0,434.0,328.0,1358.0,2925.0,2053.0,735.0,573.0,838.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
24.7808,54.2992,91.4608,24.736,28.3456,61.264,22.1936,21.9344,58.4656,18.9184,25.6832,52.512,35.752,37.088,95.3584,30.0912,32.9248,87.8768,34.7408,28.3232,89.2176,26.6048,33.48,78.696,30.2832,36.4576,80.8208,96.9664,22.8752,108.448,110.888,23.2288,97.2544,116.6704,20.4064,56.2288,25.5984,58.832,114.6032,92.816,24.648,169.5136,93.7552,13.8704,191.88,62.3408,17.4128,122.3888,111.0,360.0,249.0,1317.0,3176.0,2210.0,771.0,511.0,845.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
22.4464,62.0,102.1152,26.0896,29.9072,62.1712,27.6864,19.0784,59.472,22.656,22.8624,51.3856,32.0992,47.6,102.3344,34.0528,32.8688,93.3792,32.112,27.0336,82.768,23.008,31.7536,78.9824,27.7808,45.7984,91.6528,90.8944,23.1808,108.9024,109.0528,23.5456,99.2368,106.5568,22.9648,56.3488,20.64,64.2448,112.6432,88.3312,26.4384,166.6208,92.5536,14.2624,190.0944,59.904,18.336,122.5856,175.0,441.0,351.0,1390.0,3031.0,1963.0,774.0,512.0,735.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
22.0288,64.3024,107.5168,25.6,28.0608,62.128,22.4272,20.656,60.2448,22.0448,36.8128,51.7776,28.656,49.6592,106.2048,32.5712,31.6912,93.4896,32.1552,26.5056,85.3968,22.0544,29.5712,73.5456,26.3984,51.1616,98.7904,102.016,21.1472,117.704,113.3488,23.9136,109.4576,109.3136,20.4016,55.3696,18.1824,69.1536,114.2944,71.6816,25.9264,160.7568,74.672,14.168,184.6976,66.9008,18.4416,129.288,159.0,418.0,309.0,1333.0,3098.0,2036.0,742.0,550.0,778.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,freeway
